CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014
10580,,36093,"Schenectady County, NY",County or equivalent,154727,154725,154919,154746,155051,155440,155735,194,-173,305,389,295,460,1825,1856,1967,1996,358,1516,1514,1426,1470,102,309,342,541,526,94,412,425,441,441,2,-960,-457,-536,-612,96,-548,-32,-95,-171,-4,66,-5,-57,-60
10580,,36095,"Schoharie County, NY",County or equivalent,32749,32747,32666,32638,32048,31849,31566,-81,-28,-590,-199,-283,59,300,265,258,251,88,266,252,253,277,-29,34,13,5,-26,2,16,17,17,17,-46,-67,-633,-149,-310,-44,-51,-616,-132,-293,-8,-11,13,-72,36
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887075,889649,897091,901016,903345,904587,2574,7442,3925,2329,1242,2820,11173,11018,10775,10774,1423,6712,6614,7080,7214,1397,4461,4404,3695,3560,222,1005,1144,1153,1159,917,2149,-1566,-2809,-3423,1139,3154,-422,-1656,-2264,38,-173,-57,290,-54
10740,,35001,"Bernalillo County, NM",County or equivalent,662564,662555,664110,669604,672995,674883,675551,1555,5494,3391,1888,668,2151,8483,8513,8295,8293,1161,5043,4980,5369,5465,990,3440,3533,2926,2828,196,914,1064,1056,1053,362,1383,-1164,-2249,-3041,558,2297,-100,-1193,-1988,7,-243,-42,155,-172
10740,,35043,"Sandoval County, NM",County or equivalent,131561,131563,132367,134183,135319,136479,137608,804,1816,1136,1160,1129,395,1561,1436,1480,1470,160,946,881,961,972,235,615,555,519,498,12,48,53,52,56,523,1043,554,503,450,535,1091,607,555,506,34,110,-26,86,125
10740,,35057,"Torrance County, NM",County or equivalent,16383,16383,16380,16411,16072,15713,15611,-3,31,-339,-359,-102,43,172,171,147,153,12,140,164,133,143,31,32,7,14,10,7,25,16,23,23,-36,-22,-370,-404,-128,-29,3,-354,-381,-105,-5,-4,8,8,-7
10740,,35061,"Valencia County, NM",County or equivalent,76569,76574,76792,76893,76630,76270,75817,218,101,-263,-360,-453,231,957,898,853,858,90,583,589,617,634,141,374,309,236,224,7,18,11,22,27,68,-255,-586,-659,-704,75,-237,-575,-637,-677,2,-36,3,41,0
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153922,154127,154419,154487,154903,154872,205,292,68,416,-31,495,2037,2025,2039,2014,373,1480,1586,1650,1557,122,557,439,389,457,34,148,169,165,165,54,-329,-540,-121,-627,88,-181,-371,44,-462,-5,-84,0,-17,-26
10780,,22043,"Grant Parish, LA",County or equivalent,22309,22309,22340,22364,22376,22351,22384,31,24,12,-25,33,61,239,255,246,249,79,195,208,210,172,-18,44,47,36,77,4,13,11,14,14,44,-27,-44,-80,-61,48,-14,-33,-66,-47,1,-6,-2,5,3
10780,,22079,"Rapides Parish, LA",County or equivalent,131613,131613,131787,132055,132111,132552,132488,174,268,56,441,-64,434,1798,1770,1793,1765,294,1285,1378,1440,1385,140,513,392,353,380,30,135,158,151,151,10,-302,-496,-41,-566,40,-167,-338,110,-415,-6,-78,2,-22,-29
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821303,822083,825229,827109,827044,829835,780,3146,1880,-65,2791,2127,8716,8554,8496,8630,1961,7862,7590,7708,7679,166,854,964,788,951,496,2367,2361,2427,2429,165,9,-1432,-3532,-309,661,2376,929,-1105,2120,-47,-84,-13,252,-280
10900,,34041,"Warren County, NJ",County or equivalent,108692,108692,108676,108138,107550,106839,106917,-16,-538,-588,-711,78,238,1003,894,777,899,259,936,866,854,856,-21,67,28,-77,43,50,199,196,214,214,-42,-823,-822,-805,-170,8,-624,-626,-591,44,-3,19,10,-43,-9
10900,,42025,"Carbon County, PA",County or equivalent,65249,65250,65207,65106,64927,64690,64441,-43,-101,-179,-237,-249,132,609,562,579,562,147,860,776,756,768,-15,-251,-214,-177,-206,-3,2,3,6,6,-15,150,37,-70,-20,-18,152,40,-64,-14,-10,-2,-5,4,-29
10900,,42077,"Lehigh County, PA",County or equivalent,349497,349626,350172,353653,355269,355768,357823,546,3481,1616,499,2055,1013,4173,4088,4106,4101,846,3240,3252,3318,3237,167,933,836,788,864,301,1551,1531,1561,1561,94,1025,-751,-1939,-252,395,2576,780,-378,1309,-16,-28,0,89,-118
10900,,42095,"Northampton County, PA",County or equivalent,297735,297735,298028,298332,299363,299747,300654,293,304,1031,384,907,744,2931,3010,3034,3068,709,2826,2696,2780,2818,35,105,314,254,250,148,615,631,646,648,128,-343,104,-718,133,276,272,735,-72,781,-18,-73,-18,202,-124
11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127078,127030,127175,126999,126379,125955,-48,145,-176,-620,-424,342,1386,1334,1325,1327,389,1595,1497,1643,1627,-47,-209,-163,-318,-300,10,33,35,37,37,-3,263,-31,-392,-186,7,296,4,-355,-149,-8,58,-17,53,25
11020,,42013,"Blair County, PA",County or equivalent,127089,127078,127030,127175,126999,126379,125955,-48,145,-176,-620,-424,342,1386,1334,1325,1327,389,1595,1497,1643,1627,-47,-209,-163,-318,-300,10,33,35,37,37,-3,263,-31,-392,-186,7,296,4,-355,-149,-8,58,-17,53,25
11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251933,252696,255988,257755,258833,259885,763,3292,1767,1078,1052,909,3787,3704,3908,3793,586,2151,2196,2271,2212,323,1636,1508,1637,1581,134,629,622,676,682,292,1050,-377,-1306,-1177,426,1679,245,-630,-495,14,-23,14,71,-34
11100,,48011,"Armstrong County, TX",County or equivalent,1901,1901,1902,1934,1948,1957,1955,1,32,14,9,-2,8,18,21,26,28,2,27,28,30,20,6,-9,-7,-4,8,0,5,5,5,5,-4,33,16,6,-15,-4,38,21,11,-10,-1,3,0,2,0
11100,,48065,"Carson County, TX",County or equivalent,6182,6182,6164,6270,6109,5986,6013,-18,106,-161,-123,27,15,64,56,62,54,19,67,79,52,61,-4,-3,-23,10,-7,0,0,0,0,0,-16,106,-133,-108,32,-16,106,-133,-108,32,2,3,-5,-25,2
11100,,48359,"Oldham County, TX",County or equivalent,2052,2052,2050,2075,2047,2100,2070,-2,25,-28,53,-30,5,15,20,26,23,5,15,13,16,9,0,0,7,10,14,0,0,0,0,0,-2,25,-34,43,-47,-2,25,-34,43,-47,0,0,-1,0,3
11100,,48375,"Potter County, TX",County or equivalent,121073,121073,121390,122350,122754,122146,121627,317,960,404,-608,-519,507,2043,2039,2100,2027,297,1132,1146,1179,1136,210,911,893,921,891,101,474,470,511,515,8,-389,-971,-2107,-1904,109,85,-501,-1596,-1389,-2,-36,12,67,-21
11100,,48381,"Randall County, TX",County or equivalent,120725,120725,121190,123359,124897,126644,128220,465,2169,1538,1747,1576,374,1647,1568,1694,1661,263,910,930,994,986,111,737,638,700,675,33,150,147,160,162,306,1275,745,860,757,339,1425,892,1020,919,15,7,8,27,-18
11180,,,"Ames, IA",Metropolitan Statistical Area,89542,89542,89596,90896,91721,93410,94073,54,1300,825,1689,663,221,991,905,963,938,86,494,436,452,492,135,497,469,511,446,134,625,636,694,693,-221,207,-280,510,-446,-87,832,356,1204,247,6,-29,0,-26,-30
11180,,19169,"Story County, IA",County or equivalent,89542,89542,89596,90896,91721,93410,94073,54,1300,825,1689,663,221,991,905,963,938,86,494,436,452,492,135,497,469,511,446,134,625,636,694,693,-221,207,-280,510,-446,-87,832,356,1204,247,6,-29,0,-26,-30
11260,,,"Anchorage, AK",Metropolitan Statistical Area,380821,380821,383120,388140,392431,397521,398892,2299,5020,4291,5090,1371,1450,6118,5901,6029,6040,422,2012,2030,2216,2207,1028,4106,3871,3813,3833,348,879,1608,1348,1238,886,61,-1190,93,-3879,1234,940,418,1441,-2641,37,-26,2,-164,179
11260,,2020,"Anchorage Municipality, AK",County or equivalent,291826,291826,293337,296282,298633,301629,301010,1511,2945,2351,2996,-619,1105,4782,4591,4691,4686,321,1496,1511,1691,1698,784,3286,3080,3000,2988,330,854,1540,1297,1197,386,-1122,-2254,-1125,-5001,716,-268,-714,172,-3804,11,-73,-15,-176,197
11260,,2170,"Matanuska-Susitna Borough, AK",County or equivalent,88995,88995,89783,91858,93798,95892,97882,788,2075,1940,2094,1990,345,1336,1310,1338,1354,101,516,519,525,509,244,820,791,813,845,18,25,68,51,41,500,1183,1064,1218,1122,518,1208,1132,1269,1163,26,47,17,12,-18
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,344791,345066,345525,349150,351301,354418,356874,459,3625,2151,3117,2456,945,3824,3780,3664,3690,541,2052,2074,2064,2139,404,1772,1706,1600,1551,436,1899,1948,2119,2119,-396,48,-1522,-635,-1090,40,1947,426,1484,1029,15,-94,19,33,-124
11460,,26161,"Washtenaw County, MI",County or equivalent,344791,345066,345525,349150,351301,354418,356874,459,3625,2151,3117,2456,945,3824,3780,3664,3690,541,2052,2074,2064,2139,404,1772,1706,1600,1551,436,1899,1948,2119,2119,-396,48,-1522,-635,-1090,40,1947,426,1484,1029,15,-94,19,33,-124
11500,,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,118572,118586,118443,117760,117264,116547,115916,-143,-683,-496,-717,-631,323,1385,1355,1327,1292,311,1327,1361,1418,1401,12,58,-6,-91,-109,6,27,43,33,31,-157,-726,-534,-643,-471,-151,-699,-491,-610,-440,-4,-42,1,-16,-82
11500,,1015,"Calhoun County, AL",County or equivalent,118572,118586,118443,117760,117264,116547,115916,-143,-683,-496,-717,-631,323,1385,1355,1327,1292,311,1327,1361,1418,1401,12,58,-6,-91,-109,6,27,43,33,31,-157,-726,-534,-643,-471,-151,-699,-491,-610,-440,-4,-42,1,-16,-82
11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225666,225850,227411,228581,229869,231497,184,1561,1170,1288,1628,655,2937,2841,2785,2808,363,1531,1544,1542,1551,292,1406,1297,1243,1257,42,184,183,192,196,-149,12,-310,-222,228,-107,196,-127,-30,424,-1,-41,0,75,-53
11540,,55015,"Calumet County, WI",County or equivalent,48971,48971,48989,49684,49704,49644,49491,18,695,20,-60,-153,138,588,599,531,558,54,278,297,351,338,84,310,302,180,220,3,19,18,18,18,-66,323,-306,-269,-387,-63,342,-288,-251,-369,-3,43,6,11,-4
11540,,55087,"Outagamie County, WI",County or equivalent,176695,176695,176861,177727,178877,180225,182006,166,866,1150,1348,1781,517,2349,2242,2254,2250,309,1253,1247,1191,1213,208,1096,995,1063,1037,39,165,165,174,178,-83,-311,-4,47,615,-44,-146,161,221,793,2,-84,-6,64,-49
11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424859,425465,428436,432142,437661,442316,606,2971,3706,5519,4655,1079,4350,4392,4436,4486,1135,4517,4409,4735,4721,-56,-167,-17,-299,-235,87,362,352,401,413,560,2701,3370,5151,4113,647,3063,3722,5552,4526,15,75,1,266,364
11700,,37021,"Buncombe County, NC",County or equivalent,238318,238307,238832,241416,244363,247846,250539,525,2584,2947,3483,2693,669,2566,2552,2660,2666,593,2364,2272,2458,2481,76,202,280,202,185,58,250,244,276,282,373,2029,2413,2807,1989,431,2279,2657,3083,2271,18,103,10,198,237
11700,,37087,"Haywood County, NC",County or equivalent,59036,59036,58950,58693,58782,59163,59471,-86,-257,89,381,308,124,529,579,547,551,193,653,701,701,698,-69,-124,-122,-154,-147,0,-2,1,2,3,-17,-121,215,487,433,-17,-123,216,489,436,0,-10,-5,46,19
11700,,37089,"Henderson County, NC",County or equivalent,106740,106742,106909,107504,108115,109531,111149,167,595,611,1416,1618,250,1077,1078,1031,1070,281,1270,1249,1355,1313,-31,-193,-171,-324,-243,25,104,98,113,118,176,702,686,1601,1623,201,806,784,1714,1741,-3,-18,-2,26,120
11700,,37115,"Madison County, NC",County or equivalent,20764,20774,20774,20823,20882,21121,21157,0,49,59,239,36,36,178,183,198,199,68,230,187,221,229,-32,-52,-4,-23,-30,4,10,9,10,10,28,91,56,256,68,32,101,65,266,78,0,0,-2,-4,-12
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192541,193476,194658,196405,197884,199016,935,1182,1747,1479,1132,623,2246,2201,2215,2242,349,1260,1229,1356,1291,274,986,972,859,951,103,456,434,480,487,524,-306,316,139,-387,627,150,750,619,100,34,46,25,1,81
12020,,13059,"Clarke County, GA",County or equivalent,116714,116707,117484,118509,120270,121206,120938,777,1025,1761,936,-268,382,1455,1436,1428,1465,198,636,625,732,721,184,819,811,696,744,94,409,392,431,437,453,-192,536,-215,-1469,547,217,928,216,-1032,46,-11,22,24,20
12020,,13195,"Madison County, GA",County or equivalent,28120,28120,28155,28110,28018,28116,28312,35,-45,-92,98,196,100,324,300,320,321,42,286,284,284,257,58,38,16,36,64,2,18,15,18,18,-19,-115,-124,65,126,-17,-97,-109,83,144,-6,14,1,-21,-12
12020,,13219,"Oconee County, GA",County or equivalent,32808,32815,32927,33255,33520,34050,35093,112,328,265,530,1043,97,309,316,324,309,70,211,198,216,184,27,98,118,108,125,6,23,21,24,25,83,192,129,408,841,89,215,150,432,866,-4,15,-3,-10,52
12020,,13221,"Oglethorpe County, GA",County or equivalent,14899,14899,14910,14784,14597,14512,14673,11,-126,-187,-85,161,44,158,149,143,147,39,127,122,124,129,5,31,27,19,18,1,6,6,7,7,7,-191,-225,-119,115,8,-185,-219,-112,122,-2,28,5,8,21
12060,,,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,5286728,5286727,5304207,5374825,5456472,5525432,5614323,17480,70618,81647,68960,88891,18638,73837,72556,71753,71724,7711,32040,31349,34204,35043,10927,41797,41207,37549,36681,3744,17490,17003,18664,18816,2514,9338,23294,12061,32294,6258,26828,40297,30725,51110,295,1993,143,686,1100
12060,,13013,"Barrow County, GA",County or equivalent,69367,69367,69681,69846,70171,71425,73240,314,165,325,1254,1815,253,1073,1083,1046,1069,139,514,494,489,534,114,559,589,557,535,20,76,68,77,78,171,-489,-327,628,1123,191,-413,-259,705,1201,9,19,-5,-8,79
12060,,13015,"Bartow County, GA",County or equivalent,100157,100157,100113,100242,100477,101289,101736,-44,129,235,812,447,328,1279,1239,1290,1277,234,833,759,862,846,94,446,480,428,431,17,74,69,80,82,-158,-408,-308,249,-70,-141,-334,-239,329,12,3,17,-6,55,4
12060,,13035,"Butts County, GA",County or equivalent,23655,23655,23739,23562,23454,23222,23368,84,-177,-108,-232,146,69,281,279,289,294,40,248,213,272,258,29,33,66,17,36,3,8,1,2,2,48,-215,-178,-209,110,51,-207,-177,-207,112,4,-3,3,-42,-2
12060,,13045,"Carroll County, GA",County or equivalent,110527,110591,110704,110722,111453,112388,114093,113,18,731,935,1705,394,1494,1514,1410,1474,187,986,863,1009,983,207,508,651,401,491,32,134,128,137,137,-129,-587,-29,387,1067,-97,-453,99,524,1204,3,-37,-19,10,10
12060,,13057,"Cherokee County, GA",County or equivalent,214346,214346,215216,217770,220914,224869,230985,870,2554,3144,3955,6116,689,2853,2787,2723,2707,260,1210,1224,1249,1232,429,1643,1563,1474,1475,60,252,238,258,261,388,615,1384,2294,4032,448,867,1622,2552,4293,-7,44,-41,-71,348
12060,,13063,"Clayton County, GA",County or equivalent,259424,259467,259824,262643,266253,264843,267542,357,2819,3610,-1410,2699,1117,4375,4174,4112,3806,388,1431,1396,1562,1561,729,2944,2778,2550,2245,149,718,716,764,778,-541,-950,142,-4764,-282,-392,-232,858,-4000,496,20,107,-26,40,-42
12060,,13067,"Cobb County, GA",County or equivalent,688078,688076,689692,697682,708036,718208,730981,1616,7990,10354,10172,12773,2345,9481,9486,9280,9471,931,3744,3648,3937,4086,1414,5737,5838,5343,5385,541,2568,2505,2717,2734,-349,-206,2052,1814,4720,192,2362,4557,4531,7454,10,-109,-41,298,-66
12060,,13077,"Coweta County, GA",County or equivalent,127317,127317,127946,129480,130878,133222,135571,629,1534,1398,2344,2349,444,1635,1587,1666,1632,171,876,812,936,923,273,759,775,730,709,29,124,118,142,148,308,648,530,1371,1412,337,772,648,1513,1560,19,3,-25,101,80
12060,,13085,"Dawson County, GA",County or equivalent,22330,22339,22300,22214,22376,22651,22957,-39,-86,162,275,306,67,243,222,248,251,31,165,175,159,163,36,78,47,89,88,-3,-11,-9,-9,-8,-75,-168,130,178,202,-78,-179,121,169,194,3,15,-6,17,24
12060,,13089,"DeKalb County, GA",County or equivalent,691893,691894,692574,697953,708304,714935,722161,680,5379,10351,6631,7226,2754,11046,11009,10924,10784,983,4214,4153,4356,4351,1771,6832,6856,6568,6433,887,4173,4096,4517,4537,-2070,-6020,-554,-4272,-3670,-1183,-1847,3542,245,867,92,394,-47,-182,-74
12060,,13097,"Douglas County, GA",County or equivalent,132403,132339,132644,133280,133926,136560,138776,305,636,646,2634,2216,437,1750,1762,1750,1726,155,828,842,864,926,282,922,920,886,800,54,256,257,290,292,-26,-569,-544,1382,1120,28,-313,-287,1672,1412,-5,27,13,76,4
12060,,13113,"Fayette County, GA",County or equivalent,106567,106566,106990,107211,107432,108355,109664,424,221,221,923,1309,193,778,806,810,827,229,764,667,788,775,-36,14,139,22,52,47,192,203,209,210,448,-13,-139,660,976,495,179,64,869,1186,-35,28,18,32,71
12060,,13117,"Forsyth County, GA",County or equivalent,175511,175511,176737,182392,187826,195312,204302,1226,5655,5434,7486,8990,580,2226,2190,2163,2161,224,824,912,956,1004,356,1402,1278,1207,1157,110,481,458,502,510,735,3375,3697,5943,6932,845,3856,4155,6445,7442,25,397,1,-166,391
12060,,13121,"Fulton County, GA",County or equivalent,920581,920579,926149,950359,977950,984721,996319,5570,24210,27591,6771,11598,3264,13031,12686,12677,12844,1348,5603,5469,6212,6766,1916,7428,7217,6465,6078,825,3891,3837,4220,4246,2644,12464,16085,-4336,1469,3469,16355,19922,-116,5715,185,427,452,422,-195
12060,,13135,"Gwinnett County, GA",County or equivalent,805321,805324,808374,824981,840221,858956,877922,3050,16607,15240,18735,18966,3012,11722,11461,11326,11185,912,3475,3432,3843,3929,2100,8247,8029,7483,7256,813,3842,3595,4014,4056,156,4235,3723,7104,7510,969,8077,7318,11118,11566,-19,283,-107,134,144
12060,,13143,"Haralson County, GA",County or equivalent,28780,28780,28788,28515,28388,28482,28641,8,-273,-127,94,159,94,377,336,341,337,100,385,325,297,316,-6,-8,11,44,21,0,4,5,7,7,18,-285,-143,27,147,18,-281,-138,34,154,-4,16,0,16,-16
12060,,13149,"Heard County, GA",County or equivalent,11834,11834,11851,11711,11644,11561,11603,17,-140,-67,-83,42,28,128,132,137,122,39,125,119,100,105,-11,3,13,37,17,0,0,0,0,0,31,-152,-81,-111,30,31,-152,-81,-111,30,-3,9,1,-9,-5
12060,,13151,"Henry County, GA",County or equivalent,203922,203879,205206,207071,208443,210755,213869,1327,1865,1372,2312,3114,642,2450,2419,2372,2537,211,1165,1303,1322,1344,431,1285,1116,1050,1193,77,268,281,281,283,786,307,-20,983,1498,863,575,261,1264,1781,33,5,-5,-2,140
12060,,13159,"Jasper County, GA",County or equivalent,13900,13900,13885,13778,13596,13543,13432,-15,-107,-182,-53,-111,43,197,178,173,155,47,122,131,115,123,-4,75,47,58,32,0,-2,1,2,2,-9,-193,-233,-120,-149,-9,-195,-232,-118,-147,-2,13,3,7,4
12060,,13171,"Lamar County, GA",County or equivalent,18317,18317,18268,18178,18039,17946,18207,-49,-90,-139,-93,261,46,203,193,192,183,41,193,190,192,202,5,10,3,0,-19,1,6,6,7,7,-57,-118,-155,-103,278,-56,-112,-149,-96,285,2,12,7,3,-5
12060,,13199,"Meriwether County, GA",County or equivalent,21992,21992,21843,21606,21316,21207,21198,-149,-237,-290,-109,-9,66,245,283,221,222,86,252,228,252,243,-20,-7,55,-31,-21,1,2,2,2,2,-136,-224,-346,-90,25,-135,-222,-344,-88,27,6,-8,-1,10,-15
12060,,13211,"Morgan County, GA",County or equivalent,17868,17868,17895,17906,17823,17752,17956,27,11,-83,-71,204,52,195,184,165,169,24,192,170,159,156,28,3,14,6,13,0,2,0,0,0,-1,0,-100,-94,188,-1,2,-100,-94,188,0,6,3,17,3
